Clock, Solids Loading, Box Size, AAR, RT Clock, Not accounted for, CheckForPolymerTangles, Stage One, Stage Two, RunSimulation, CalcParticleBrownianMotion, CalcPolymerBrownianMotion, NudgeParticles
0.000000, 0.023200, 7.121042e-07, 1.000000e-08,     1.0,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.9
145.698759, 0.023200, 7.122229e-07, 1.000231e-08,     4.1,    -0.3,     0.0,     0.0,     0.0,     2.0,     0.0,     0.0,     2.4
291.465010, 0.023200, 7.123415e-07, 1.000462e-08,     6.8,    -0.4,     0.0,     0.0,     0.0,     3.7,     0.0,     0.0,     3.5
437.298755, 0.023200, 7.124601e-07, 1.000693e-08,     9.8,    -0.5,     0.0,     0.0,     0.0,     5.4,     0.1,     0.0,     4.9
583.199992, 0.023200, 7.125786e-07, 1.000924e-08,    12.7,    -0.6,     0.0,     0.0,     0.0,     7.1,     0.1,     0.0,     6.1
729.095921, 0.023200, 7.125786e-07, 1.000924e-08,    15.4,    -0.5,     0.0,     0.0,     0.0,     8.6,     0.1,     0.0,     7.3
874.991850, 0.023200, 7.125786e-07, 1.000924e-08,    18.0,    -0.4,     0.0,     0.0,     0.0,    10.1,     0.1,     0.0,     8.2
1020.887779, 0.023200, 7.125786e-07, 1.000924e-08,    21.0,    -0.3,     0.0,     0.0,     0.0,    11.6,     0.1,     0.0,     9.6
1166.783708, 0.023200, 7.125786e-07, 1.000924e-08,    23.8,    -0.2,     0.0,     0.0,     0.0,    13.2,     0.1,     0.0,    10.7
1312.679638, 0.023200, 7.125786e-07, 1.000924e-08,    26.6,    -0.1,     0.0,     0.0,     0.0,    14.7,     0.1,     0.0,    11.8
1458.575567, 0.023200, 7.125786e-07, 1.000924e-08,    29.1,     0.0,     0.0,     0.0,     0.0,    16.3,     0.1,     0.0,    12.7
1604.471496, 0.023200, 7.125786e-07, 1.000924e-08,    32.1,     0.1,     0.0,     0.0,     0.0,    17.8,     0.2,     0.0,    14.0
1750.440227, 0.023200, 7.126971e-07, 1.001155e-08,    35.0,    -0.1,     0.0,     0.0,     0.0,    19.7,     0.2,     0.0,    15.3
1896.403653, 0.023200, 7.126971e-07, 1.001155e-08,    38.0,    -0.0,     0.0,     0.0,     0.0,    21.3,     0.2,     0.0,    16.6
2042.439879, 0.023200, 7.128156e-07, 1.001386e-08,    41.2,    -0.3,     0.0,     0.0,     0.0,    23.2,     0.2,     0.0,    18.1
2188.470802, 0.023200, 7.128156e-07, 1.001386e-08,    43.9,    -0.2,     0.0,     0.0,     0.0,    24.7,     0.2,     0.0,    19.2
2334.574522, 0.023200, 7.129340e-07, 1.001617e-08,    47.3,    -0.7,     0.0,     0.0,     0.0,    26.8,     0.2,     0.0,    20.9
2480.672943, 0.023200, 7.129340e-07, 1.001617e-08,    49.9,    -0.6,     0.0,     0.0,     0.0,    28.4,     0.2,     0.0,    21.9
2626.771363, 0.023200, 7.129340e-07, 1.001617e-08,    52.9,    -0.5,     0.0,     0.0,     0.0,    29.9,     0.2,     0.0,    23.2
2772.942579, 0.023200, 7.130524e-07, 1.001848e-08,    56.0,    -0.6,     0.0,     0.0,     0.0,    31.7,     0.3,     0.0,    24.6
2919.108498, 0.023200, 7.130524e-07, 1.001848e-08,    58.9,    -0.5,     0.0,     0.0,     0.0,    33.2,     0.3,     0.0,    25.9
3065.347208, 0.023200, 7.131707e-07, 1.002079e-08,    61.9,    -0.7,     0.0,     0.0,     0.0,    35.1,     0.3,     0.0,    27.2
3211.653415, 0.023200, 7.132891e-07, 1.002310e-08,    64.8,    -0.8,     0.0,     0.0,     0.0,    36.8,     0.3,     0.0,    28.5
3358.027118, 0.023200, 7.134073e-07, 1.002541e-08,    67.6,    -0.9,     0.0,     0.0,     0.0,    38.6,     0.3,     0.0,    29.6
3504.395534, 0.023200, 7.134073e-07, 1.002541e-08,    70.4,    -0.8,     0.0,     0.0,     0.0,    40.1,     0.3,     0.0,    30.8
3650.836734, 0.023200, 7.135256e-07, 1.002772e-08,    73.5,    -0.9,     0.0,     0.0,     0.0,    41.9,     0.3,     0.0,    32.2
3797.345431, 0.023200, 7.136437e-07, 1.003003e-08,    76.3,    -1.0,     0.0,     0.0,     0.0,    43.6,     0.3,     0.0,    33.4
3943.921626, 0.023200, 7.137619e-07, 1.003234e-08,    79.8,    -1.6,     0.0,     0.0,     0.0,    45.9,     0.4,     0.0,    35.2
4090.492543, 0.023200, 7.137619e-07, 1.003234e-08,    82.4,    -1.5,     0.0,     0.0,     0.0,    47.4,     0.4,     0.0,    36.2
4237.063460, 0.023200, 7.137619e-07, 1.003234e-08,    85.0,    -1.4,     0.0,     0.0,     0.0,    49.0,     0.4,     0.0,    37.1
4383.634378, 0.023200, 7.137619e-07, 1.003234e-08,    87.8,    -1.3,     0.0,     0.0,     0.0,    50.5,     0.4,     0.0,    38.2
4530.205295, 0.023200, 7.137619e-07, 1.003234e-08,    90.5,    -1.2,     0.0,     0.0,     0.0,    52.0,     0.4,     0.0,    39.3
4676.776212, 0.023200, 7.137619e-07, 1.003234e-08,    93.3,    -1.1,     0.0,     0.0,     0.0,    53.6,     0.4,     0.0,    40.4
4823.347129, 0.023200, 7.137619e-07, 1.003234e-08,    96.1,    -1.0,     0.0,     0.0,     0.0,    55.1,     0.4,     0.0,    41.5
4969.990823, 0.023200, 7.138800e-07, 1.003465e-08,    98.8,    -1.1,     0.0,     0.0,     0.0,    56.8,     0.4,     0.0,    42.6
5116.629241, 0.023200, 7.138800e-07, 1.003465e-08,   101.4,    -1.0,     0.0,     0.0,     0.0,    58.4,     0.5,     0.0,    43.6
