Clock, Solids Loading, Box Size, AAR, RT Clock, Not accounted for, CheckForPolymerTangles, Stage One, Stage Two, RunSimulation, CalcParticleBrownianMotion, CalcPolymerBrownianMotion, NudgeParticles
5849.561890, 0.023200, 7.141161e-07, 1.003927e-08,   150.1,    -2.1,     0.0,     0.0,     0.0,    86.5,     0.6,     0.0,    65.1
5996.335313, 0.023200, 7.141161e-07, 1.003927e-08,   153.4,    -2.0,     0.0,     0.0,     0.0,    88.4,     0.6,     0.0,    66.3
6143.108736, 0.023200, 7.141161e-07, 1.003927e-08,   156.7,    -1.9,     0.0,     0.0,     0.0,    90.5,     0.6,     0.0,    67.5
6289.882159, 0.023200, 7.141161e-07, 1.003927e-08,   160.3,    -1.8,     0.0,     0.0,     0.0,    92.5,     0.7,     0.0,    69.0
6436.655582, 0.023200, 7.141161e-07, 1.003927e-08,   163.9,    -1.7,     0.0,     0.0,     0.0,    94.5,     0.7,     0.0,    70.4
6583.429005, 0.023200, 7.141161e-07, 1.003927e-08,   167.4,    -1.6,     0.0,     0.0,     0.0,    96.5,     0.7,     0.0,    71.8
6730.202429, 0.023200, 7.141161e-07, 1.003927e-08,   170.9,    -1.5,     0.0,     0.0,     0.0,    98.4,     0.7,     0.0,    73.2
6876.975852, 0.023200, 7.141161e-07, 1.003927e-08,   174.2,    -1.4,     0.0,     0.0,     0.0,   100.4,     0.7,     0.0,    74.5
7023.749275, 0.023200, 7.141161e-07, 1.003927e-08,   177.7,    -1.3,     0.0,     0.0,     0.0,   102.3,     0.7,     0.0,    75.9
7170.522698, 0.023200, 7.141161e-07, 1.003927e-08,   181.2,    -1.1,     0.0,     0.0,     0.0,   104.2,     0.7,     0.0,    77.4
7317.296121, 0.023200, 7.141161e-07, 1.003927e-08,   184.7,    -1.0,     0.0,     0.0,     0.0,   106.2,     0.8,     0.0,    78.8
7464.069544, 0.023200, 7.141161e-07, 1.003927e-08,   188.2,    -0.9,     0.0,     0.0,     0.0,   108.2,     0.8,     0.0,    80.2
7610.842967, 0.023200, 7.141161e-07, 1.003927e-08,   192.0,    -0.8,     0.0,     0.0,     0.0,   110.1,     0.8,     0.0,    81.9
7757.616391, 0.023200, 7.141161e-07, 1.003927e-08,   195.7,    -0.7,     0.0,     0.0,     0.0,   112.2,     0.8,     0.0,    83.5
7904.389814, 0.023200, 7.141161e-07, 1.003927e-08,   198.9,    -0.6,     0.0,     0.0,     0.0,   114.1,     0.8,     0.0,    84.7
8051.163237, 0.023200, 7.141161e-07, 1.003927e-08,   202.7,    -0.5,     0.0,     0.0,     0.0,   116.1,     0.8,     0.0,    86.3
8197.936660, 0.023200, 7.141161e-07, 1.003927e-08,   205.9,    -0.4,     0.0,     0.0,     0.0,   118.0,     0.8,     0.0,    87.5
8344.710083, 0.023200, 7.141161e-07, 1.003927e-08,   209.2,    -0.3,     0.0,     0.0,     0.0,   120.0,     0.9,     0.0,    88.7
8491.483506, 0.023200, 7.141161e-07, 1.003927e-08,   212.5,    -0.2,     0.0,     0.0,     0.0,   122.0,     0.9,     0.0,    89.9
8638.256929, 0.023200, 7.141161e-07, 1.003927e-08,   215.8,    -0.1,     0.0,     0.0,     0.0,   124.0,     0.9,     0.0,    91.0
8785.030353, 0.023200, 7.141161e-07, 1.003927e-08,   219.3,    -0.0,     0.0,     0.0,     0.0,   126.0,     0.9,     0.0,    92.4
8931.803776, 0.023200, 7.141161e-07, 1.003927e-08,   223.3,     0.1,     0.0,     0.0,     0.0,   128.1,     0.9,     0.0,    94.2
9078.577199, 0.023200, 7.141161e-07, 1.003927e-08,   227.0,     0.2,     0.0,     0.0,     0.0,   130.2,     0.9,     0.0,    95.6
9225.350622, 0.023200, 7.141161e-07, 1.003927e-08,   230.6,     0.3,     0.0,     0.0,     0.0,   132.2,     1.0,     0.0,    97.1
9372.124045, 0.023200, 7.141161e-07, 1.003927e-08,   234.1,     0.4,     0.0,     0.0,     0.0,   134.1,     1.0,     0.0,    98.6
9518.897468, 0.023200, 7.141161e-07, 1.003927e-08,   237.7,     0.5,     0.0,     0.0,     0.0,   136.1,     1.0,     0.0,   100.0
9665.670891, 0.023200, 7.141161e-07, 1.003927e-08,   240.9,     0.7,     0.0,     0.0,     0.0,   138.0,     1.0,     0.0,   101.2
9812.444314, 0.023200, 7.141161e-07, 1.003927e-08,   244.2,     0.8,     0.0,     0.0,     0.0,   140.0,     1.0,     0.0,   102.4
9959.217738, 0.023200, 7.141161e-07, 1.003927e-08,   247.8,     0.9,     0.0,     0.0,     0.0,   142.0,     1.0,     0.0,   103.9
10105.991161, 0.023200, 7.141161e-07, 1.003927e-08,   251.4,     1.0,     0.0,     0.0,     0.0,   144.0,     1.0,     0.0,   105.3
10252.764584, 0.023200, 7.141161e-07, 1.003927e-08,   254.8,     1.1,     0.0,     0.0,     0.0,   146.0,     1.1,     0.0,   106.7
10399.538007, 0.023200, 7.141161e-07, 1.003927e-08,   258.1,     1.2,     0.0,     0.0,     0.0,   147.9,     1.1,     0.0,   107.9
10546.311430, 0.023200, 7.141161e-07, 1.003927e-08,   261.6,     1.3,     0.0,     0.0,     0.0,   149.9,     1.1,     0.0,   109.4
10693.084853, 0.023200, 7.141161e-07, 1.003927e-08,   265.3,     1.4,     0.0,     0.0,     0.0,   151.8,     1.1,     0.0,   111.0
10839.858276, 0.023200, 7.141161e-07, 1.003927e-08,   268.6,     1.5,     0.0,     0.0,     0.0,   153.8,     1.1,     0.0,   112.2
10986.631700, 0.023200, 7.141161e-07, 1.003927e-08,   272.3,     1.6,     0.0,     0.0,     0.0,   155.7,     1.1,     0.0,   113.9
11133.405123, 0.023200, 7.141161e-07, 1.003927e-08,   276.2,     1.7,     0.0,     0.0,     0.0,   157.7,     1.1,     0.0,   115.6
11280.178546, 0.023200, 7.141161e-07, 1.003927e-08,   279.7,     1.8,     0.0,     0.0,     0.0,   159.7,     1.2,     0.0,   117.1
11426.951969, 0.023200, 7.141161e-07, 1.003927e-08,   283.8,     1.9,     0.0,     0.0,     0.0,   161.7,     1.2,     0.0,   119.0
11573.725392, 0.023200, 7.141161e-07, 1.003927e-08,   287.0,     2.0,     0.0,     0.0,     0.0,   163.6,     1.2,     0.0,   120.1
