Clock, Solids Loading, BoxSize, AAR, Iteration, Smallest Particle Radius, AAR, Largest Particle Radius, Max. Polymer Radius, Max. Tangle Radius, agglomerationsAccepted, agglomerationsRejected, particlesDidNotApproach, last Dim, last AAF, Radius of Gyration, Average approach prob, Average escape prob
3503.367204, 0.023200, 7.130524e-07, 1.001848e-08, 24, 1.000000e-08, 1.001848e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 8, 16, 16, 1.368308e-02, 1.240190e-27, 0.000000e+00,  0.07,  0.00
3649.533123, 0.023200, 7.130524e-07, 1.001848e-08, 25, 1.000000e-08, 1.001848e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 8, 17, 17, 1.368308e-02, 1.240190e-27, 0.000000e+00,  0.40,  0.00
3795.699042, 0.023200, 7.130524e-07, 1.001848e-08, 26, 1.000000e-08, 1.001848e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 8, 18, 18, 1.368308e-02, 1.240190e-27, 0.000000e+00,  0.48,  0.00
3941.937753, 0.023200, 7.131707e-07, 1.002079e-08, 27, 1.000000e-08, 1.002079e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 9, 18, 18, 1.367627e-02, 1.240190e-27, 0.000000e+00,  0.51,  0.00
4088.171170, 0.023200, 7.131707e-07, 1.002079e-08, 28, 1.000000e-08, 1.002079e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 9, 19, 19, 1.367676e-02, 1.240235e-27, 0.000000e+00,  0.01,  0.00
4234.404588, 0.023200, 7.131707e-07, 1.002079e-08, 29, 1.000000e-08, 1.002079e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 9, 20, 20, 1.367676e-02, 1.240235e-27, 0.000000e+00,  0.41,  0.00
4380.710795, 0.023200, 7.132891e-07, 1.002310e-08, 30, 1.000000e-08, 1.002310e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 10, 20, 20, 1.366996e-02, 1.240235e-27, 0.000000e+00,  0.48,  0.00
4527.084498, 0.023200, 7.134073e-07, 1.002541e-08, 31, 1.000000e-08, 1.002541e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 11, 20, 20, 1.366366e-02, 1.240280e-27, 0.000000e+00,  0.51,  0.00
4673.452914, 0.023200, 7.134073e-07, 1.002541e-08, 32, 1.000000e-08, 1.002541e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 11, 21, 21, 1.366415e-02, 1.240325e-27, 0.000000e+00,  0.24,  0.00
4819.821330, 0.023200, 7.134073e-07, 1.002541e-08, 33, 1.000000e-08, 1.002541e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 11, 22, 22, 1.366415e-02, 1.240325e-27, 0.000000e+00,  0.28,  0.00
4966.189747, 0.023200, 7.134073e-07, 1.002541e-08, 34, 1.000000e-08, 1.002541e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 11, 23, 23, 1.366415e-02, 1.240325e-27, 0.000000e+00,  0.02,  0.00
5112.630947, 0.023200, 7.135256e-07, 1.002772e-08, 35, 1.000000e-08, 1.002772e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 12, 23, 23, 1.365736e-02, 1.240325e-27, 0.000000e+00,  0.40,  0.00
5259.066863, 0.023200, 7.135256e-07, 1.002772e-08, 36, 1.000000e-08, 1.002772e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 12, 24, 24, 1.365785e-02, 1.240369e-27, 0.000000e+00,  0.06,  0.00
5405.502779, 0.023200, 7.135256e-07, 1.002772e-08, 37, 1.000000e-08, 1.002772e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 12, 25, 25, 1.365785e-02, 1.240369e-27, 0.000000e+00,  0.18,  0.00
5551.938695, 0.023200, 7.135256e-07, 1.002772e-08, 38, 1.000000e-08, 1.002772e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 12, 26, 26, 1.365785e-02, 1.240369e-27, 0.000000e+00,  0.06,  0.00
5698.374611, 0.023200, 7.135256e-07, 1.002772e-08, 39, 1.000000e-08, 1.002772e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 12, 27, 27, 1.365785e-02, 1.240369e-27, 0.000000e+00,  0.03,  0.00
5844.810527, 0.023200, 7.135256e-07, 1.002772e-08, 40, 1.000000e-08, 1.002772e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 12, 28, 28, 1.365785e-02, 1.240369e-27, 0.000000e+00,  0.40,  0.00
5991.246443, 0.023200, 7.135256e-07, 1.002772e-08, 41, 1.000000e-08, 1.002772e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 12, 29, 29, 1.365785e-02, 1.240369e-27, 0.000000e+00,  0.32,  0.00
6137.755141, 0.023200, 7.136437e-07, 1.003003e-08, 42, 1.000000e-08, 1.003003e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 13, 29, 29, 1.365107e-02, 1.240369e-27, 0.000000e+00,  0.47,  0.00
6284.331336, 0.023200, 7.137619e-07, 1.003234e-08, 43, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 29, 29, 1.364478e-02, 1.240414e-27, 0.000000e+00,  0.29,  0.00
