Clock, Solids Loading, BoxSize, AAR, Iteration, Smallest Particle Radius, AAR, Largest Particle Radius, Max. Polymer Radius, Max. Tangle Radius, agglomerationsAccepted, agglomerationsRejected, particlesDidNotApproach, last Dim, last AAF, Radius of Gyration, Average approach prob, Average escape prob
4069.736788, 0.020000, 7.499622e-07, 1.003234e-08, 24, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 10, 10, 1.176274e-02, 1.240414e-27, 0.000000e+00,  0.12,  0.00
4239.759052, 0.020000, 7.499622e-07, 1.003234e-08, 25, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 11, 11, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
4409.781316, 0.020000, 7.499622e-07, 1.003234e-08, 26, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 12, 12, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.52,  0.00
4579.803580, 0.020000, 7.499622e-07, 1.003234e-08, 27, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 13, 13, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
4749.825844, 0.020000, 7.499622e-07, 1.003234e-08, 28, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 14, 14, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
4919.848108, 0.020000, 7.499622e-07, 1.003234e-08, 29, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 15, 15, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
5089.870372, 0.020000, 7.499622e-07, 1.003234e-08, 30, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 16, 16, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
5259.892636, 0.020000, 7.499622e-07, 1.003234e-08, 31, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 17, 17, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
5429.914900, 0.020000, 7.499622e-07, 1.003234e-08, 32, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 18, 18, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
5599.937164, 0.020000, 7.499622e-07, 1.003234e-08, 33, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 19, 19, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
5769.959428, 0.020000, 7.499622e-07, 1.003234e-08, 34, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 20, 20, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
5939.981692, 0.020000, 7.499622e-07, 1.003234e-08, 35, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 21, 21, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
6110.003956, 0.020000, 7.499622e-07, 1.003234e-08, 36, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 22, 22, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
6280.026220, 0.020000, 7.499622e-07, 1.003234e-08, 37, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 23, 23, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
6450.048484, 0.020000, 7.499622e-07, 1.003234e-08, 38, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 24, 24, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
6620.070748, 0.020000, 7.499622e-07, 1.003234e-08, 39, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 25, 25, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
6790.093012, 0.020000, 7.499622e-07, 1.003234e-08, 40, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 26, 26, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
6960.115276, 0.020000, 7.499622e-07, 1.003234e-08, 41, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 27, 27, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
7130.137540, 0.020000, 7.499622e-07, 1.003234e-08, 42, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 28, 28, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
7300.159804, 0.020000, 7.499622e-07, 1.003234e-08, 43, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 29, 29, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
7470.182068, 0.020000, 7.499622e-07, 1.003234e-08, 44, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 30, 30, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
7640.204332, 0.020000, 7.499622e-07, 1.003234e-08, 45, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 31, 31, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
7810.226596, 0.020000, 7.499622e-07, 1.003234e-08, 46, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 32, 32, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
7980.248860, 0.020000, 7.499622e-07, 1.003234e-08, 47, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 33, 33, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
8150.271124, 0.020000, 7.499622e-07, 1.003234e-08, 48, 1.000000e-08, 1.003234e-08, 1.462009e-08, 0.000000e+00, 0.000000e+00, 14, 34, 34, 1.176317e-02, 1.240459e-27, 0.000000e+00,  0.00,  0.00
