Clock, Solids Loading, BoxSize, AAR, Iteration, Smallest Particle Radius, AAR, Largest Particle Radius, Max. Polymer Radius, Max. Tangle Radius, agglomerationsAccepted, agglomerationsRejected, particlesDidNotApproach, last Dim, last AAF, Radius of Gyration, Average approach prob, Average escape prob
0.000000, 0.020000, 3.741102e-06, 5.000000e-08, 0, 2.500000e-06, 5.000000e-08, 2.500000e-06, 0.000000e+00, 0.000000e+00, 0, 0, 0, 0.000000e+00, 0.000000e+00, 0.000000e+00,  0.00,  0.00
21126.320032, 0.020000, 3.741725e-06, 5.001155e-08, 1, 5.000000e-08, 5.001155e-08, 7.310044e-08, 0.000000e+00, 0.000000e+00, 1, 0, 0, 9.466864e-05, 1.239829e-27, 0.000000e+00,  0.96,  0.00
42262.426482, 0.020000, 3.742349e-06, 5.002310e-08, 2, 5.000000e-08, 5.002310e-08, 7.310044e-08, 0.000000e+00, 0.000000e+00, 2, 0, 0, 9.462481e-05, 1.239874e-27, 0.000000e+00,  0.74,  0.00
