Clock, Solids Loading, Box Size, AAR, Ellipsoid count, Ellipsoid VolFrac, Number of Captured Particles, Number of Tangles with Particles, Most Tangles in Ellipsoid
11066.966823, 0.020000, 7.516959e-07, 1.006468e-08, 0, 0.000000, 0, 0, 0
11238.085366, 0.020000, 7.516959e-07, 1.006468e-08, 0, 0.000000, 0, 0, 0
11409.203908, 0.020000, 7.516959e-07, 1.006468e-08, 0, 0.000000, 0, 0, 0
11580.322451, 0.020000, 7.516959e-07, 1.006468e-08, 0, 0.000000, 0, 0, 0
11751.525371, 0.020000, 7.518194e-07, 1.006699e-08, 0, 0.000000, 0, 0, 0
11922.806599, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
12094.081763, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
12265.356927, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
12436.632091, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
12607.907255, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
12779.182419, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
12950.457584, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
13121.732748, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
13293.007912, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
13464.283076, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
13635.558240, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
13806.833404, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
13978.108568, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
14149.383732, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
14320.658896, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
14491.934060, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
14663.209225, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
14834.484389, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
15005.759553, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
15177.034717, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
15348.309881, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
15519.585045, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
15690.860209, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
15862.135373, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
16033.410537, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
16204.685701, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
16375.960866, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
16547.236030, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
16718.511194, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
16889.786358, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
17061.061522, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
17232.336686, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
17403.611850, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
17574.887014, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
17746.162178, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
17917.437342, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
18088.712507, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
18259.987671, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
18431.262835, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
18602.537999, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
18773.813163, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
18945.088327, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
19116.363491, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
19287.638655, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
19458.913819, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
19630.188983, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
19801.464147, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
19972.739312, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
20144.014476, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
20315.289640, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
20486.564804, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
20657.839968, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
20829.115132, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
21000.390296, 0.020000, 7.519429e-07, 1.006930e-08, 0, 0.000000, 0, 0, 0
21171.749832, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
21343.104081, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
21514.458330, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
21685.812579, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
21857.166828, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
22028.521077, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
22199.875326, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
22371.229575, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
22542.583824, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
22713.938073, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
22885.292321, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
23056.646570, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
23228.000819, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
23399.355068, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
23570.709317, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
23742.063566, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
23913.417815, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
24084.772064, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
24256.126313, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
24427.480562, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
24598.834811, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
24770.189060, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
24941.543308, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
25112.897557, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
25284.251806, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
25455.606055, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
25626.960304, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
25798.314553, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
25969.668802, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
26141.023051, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
26312.377300, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
26483.731549, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
26655.085798, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
26826.440047, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
26997.794295, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
27169.148544, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
27340.502793, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
27511.857042, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
27683.211291, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
27854.565540, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
28025.919789, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
28197.274038, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
28368.628287, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
28539.982536, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
28711.336785, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
28882.691034, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
29054.045282, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
29225.399531, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
29396.753780, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
29568.108029, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
29739.462278, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
29910.816527, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
30082.170776, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
30253.525025, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
30424.879274, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
30596.233523, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
30767.587772, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
30938.942021, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
31110.296269, 0.020000, 7.520664e-07, 1.007036e-08, 0, 0.000000, 0, 0, 0
31281.734888, 0.020000, 7.521898e-07, 1.007142e-08, 0, 0.000000, 0, 0, 0
31453.168217, 0.020000, 7.521898e-07, 1.007142e-08, 0, 0.000000, 0, 0, 0
31624.601547, 0.020000, 7.521898e-07, 1.007142e-08, 0, 0.000000, 0, 0, 0
31796.034877, 0.020000, 7.521898e-07, 1.007142e-08, 0, 0.000000, 0, 0, 0
31967.468206, 0.020000, 7.521898e-07, 1.007142e-08, 0, 0.000000, 0, 0, 0
32138.901536, 0.020000, 7.521898e-07, 1.007142e-08, 0, 0.000000, 0, 0, 0
32310.334866, 0.020000, 7.521898e-07, 1.007142e-08, 0, 0.000000, 0, 0, 0
32481.768195, 0.020000, 7.521898e-07, 1.007142e-08, 0, 0.000000, 0, 0, 0
32653.201525, 0.020000, 7.521898e-07, 1.007142e-08, 0, 0.000000, 0, 0, 0
32824.634855, 0.020000, 7.521898e-07, 1.007142e-08, 0, 0.000000, 0, 0, 0
32996.068184, 0.020000, 7.521898e-07, 1.007142e-08, 0, 0.000000, 0, 0, 0
33167.501514, 0.020000, 7.521898e-07, 1.007142e-08, 0, 0.000000, 0, 0, 0
33338.934844, 0.020000, 7.521898e-07, 1.007142e-08, 0, 0.000000, 0, 0, 0
33510.368173, 0.020000, 7.521898e-07, 1.007142e-08, 0, 0.000000, 0, 0, 0
33681.801503, 0.020000, 7.521898e-07, 1.007142e-08, 0, 0.000000, 0, 0, 0
33853.234832, 0.020000, 7.521898e-07, 1.007142e-08, 0, 0.000000, 0, 0, 0
34024.668162, 0.020000, 7.521898e-07, 1.007142e-08, 0, 0.000000, 0, 0, 0
34196.101492, 0.020000, 7.521898e-07, 1.007142e-08, 0, 0.000000, 0, 0, 0
34367.619188, 0.020000, 7.523132e-07, 1.007373e-08, 0, 0.000000, 0, 0, 0
34539.130824, 0.020000, 7.523132e-07, 1.007373e-08, 0, 0.000000, 0, 0, 0
34710.642460, 0.020000, 7.523132e-07, 1.007373e-08, 0, 0.000000, 0, 0, 0
34882.238459, 0.020000, 7.524365e-07, 1.007604e-08, 0, 0.000000, 0, 0, 0
35053.828402, 0.020000, 7.524365e-07, 1.007604e-08, 0, 0.000000, 0, 0, 0
35225.418344, 0.020000, 7.524365e-07, 1.007604e-08, 0, 0.000000, 0, 0, 0
35397.008286, 0.020000, 7.524365e-07, 1.007604e-08, 0, 0.000000, 0, 0, 0
35568.682590, 0.020000, 7.525598e-07, 1.007835e-08, 0, 0.000000, 0, 0, 0
35740.350840, 0.020000, 7.525598e-07, 1.007835e-08, 0, 0.000000, 0, 0, 0
35912.019090, 0.020000, 7.525598e-07, 1.007835e-08, 0, 0.000000, 0, 0, 0
36083.771698, 0.020000, 7.526830e-07, 1.008066e-08, 0, 0.000000, 0, 0, 0
