Clock, Solids Loading, Box Size, AAR, RT Clock, Not accounted for, CheckForPolymerTangles, Stage One, Stage Two, RunSimulation, CalcParticleBrownianMotion, CalcPolymerBrownianMotion, NudgeParticles
0.000000, 0.020000, 3.741102e-06, 5.000000e-08,     7.7,     0.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     7.5
21126.320032, 0.020000, 3.741725e-06, 5.001155e-08,    34.6,    -1.6,     0.0,     0.0,     0.0,    17.6,     0.1,     0.0,    18.5
42251.868986, 0.020000, 3.741725e-06, 5.001155e-08,    65.5,    -1.3,     0.0,     0.0,     0.0,    31.6,     0.1,     0.0,    35.1
