Clock, Solids Loading, Box Size, AAR, average X Loc, average Y Loc, average Z Loc, Largest Particle Radius, lengthOfSubparticleList, Total Ellipsoids that Merged, Max. WillFit retries, maxLenNpHoldAreClose, Viscosity Scaler
0.000000, 0.023200, 7.121042e-07, 1.000000e-08, 0.494037, 0.494037, 0.495886, 1.000000e-08, 2000, 0, 0, 0, 0.000000
145.698759, 0.023200, 7.122229e-07, 1.000231e-08, 0.506206, 0.506206, 0.495272, 1.462009e-08, 2000, 0, 0, 0, 0.000000
291.465010, 0.023200, 7.123415e-07, 1.000462e-08, 0.493507, 0.493507, 0.487724, 1.462009e-08, 2000, 0, 0, 0, 0.000000
437.225947, 0.023200, 7.123415e-07, 1.000462e-08, 0.491006, 0.491006, 0.511048, 1.462009e-08, 2000, 0, 0, 0, 0.000000
582.986884, 0.023200, 7.123415e-07, 1.000462e-08, 0.500633, 0.500633, 0.494799, 1.462009e-08, 2000, 0, 0, 0, 0.000000
728.820628, 0.023200, 7.124601e-07, 1.000693e-08, 0.498491, 0.498491, 0.499568, 1.462009e-08, 2000, 0, 0, 0, 0.000000
874.649061, 0.023200, 7.124601e-07, 1.000693e-08, 0.501117, 0.501117, 0.503260, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1020.550298, 0.023200, 7.125786e-07, 1.000924e-08, 0.502490, 0.502490, 0.492954, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1166.519030, 0.023200, 7.126971e-07, 1.001155e-08, 0.489621, 0.489621, 0.515512, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1312.482456, 0.023200, 7.126971e-07, 1.001155e-08, 0.499314, 0.499314, 0.504374, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1458.518681, 0.023200, 7.128156e-07, 1.001386e-08, 0.496884, 0.496884, 0.517816, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1604.549604, 0.023200, 7.128156e-07, 1.001386e-08, 0.489405, 0.489405, 0.507445, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1750.653324, 0.023200, 7.129340e-07, 1.001617e-08, 0.496689, 0.496689, 0.493598, 1.462009e-08, 2000, 0, 0, 0, 0.000000
1896.824540, 0.023200, 7.130524e-07, 1.001848e-08, 0.511311, 0.511311, 0.514947, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2042.990459, 0.023200, 7.130524e-07, 1.001848e-08, 0.493411, 0.493411, 0.501899, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2189.229169, 0.023200, 7.131707e-07, 1.002079e-08, 0.506904, 0.506904, 0.500759, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2335.535376, 0.023200, 7.132891e-07, 1.002310e-08, 0.498328, 0.498328, 0.496083, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2481.909079, 0.023200, 7.134073e-07, 1.002541e-08, 0.506852, 0.506852, 0.505325, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2628.277495, 0.023200, 7.134073e-07, 1.002541e-08, 0.502473, 0.502473, 0.507522, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2774.645911, 0.023200, 7.134073e-07, 1.002541e-08, 0.507734, 0.507734, 0.501047, 1.462009e-08, 2000, 0, 0, 0, 0.000000
2921.087111, 0.023200, 7.135256e-07, 1.002772e-08, 0.515176, 0.515176, 0.496893, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3067.523027, 0.023200, 7.135256e-07, 1.002772e-08, 0.494042, 0.494042, 0.496860, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3213.958943, 0.023200, 7.135256e-07, 1.002772e-08, 0.499266, 0.499266, 0.501530, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3360.467640, 0.023200, 7.136437e-07, 1.003003e-08, 0.504222, 0.504222, 0.493879, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3506.971056, 0.023200, 7.136437e-07, 1.003003e-08, 0.497873, 0.497873, 0.499756, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3653.474472, 0.023200, 7.136437e-07, 1.003003e-08, 0.512093, 0.512093, 0.504924, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3799.977889, 0.023200, 7.136437e-07, 1.003003e-08, 0.497981, 0.497981, 0.496893, 1.462009e-08, 2000, 0, 0, 0, 0.000000
3946.481305, 0.023200, 7.136437e-07, 1.003003e-08, 0.499072, 0.499072, 0.502511, 1.462009e-08, 2000, 0, 0, 0, 0.000000
4093.057500, 0.023200, 7.137619e-07, 1.003234e-08, 0.499603, 0.499603, 0.498801, 1.462009e-08, 2000, 0, 0, 0, 0.000000
4239.628417, 0.023200, 7.137619e-07, 1.003234e-08, 0.495220, 0.495220, 0.496658, 1.462009e-08, 2000, 0, 0, 0, 0.000000
4386.272111, 0.023200, 7.138800e-07, 1.003465e-08, 0.494420, 0.494420, 0.504230, 1.462009e-08, 2000, 0, 0, 0, 0.000000
4532.910529, 0.023200, 7.138800e-07, 1.003465e-08, 0.501921, 0.501921, 0.520329, 1.462009e-08, 2000, 0, 0, 0, 0.000000
4679.621721, 0.023200, 7.139981e-07, 1.003696e-08, 0.490733, 0.490733, 0.505158, 1.462009e-08, 2000, 0, 0, 0, 0.000000
4826.400413, 0.023200, 7.141161e-07, 1.003927e-08, 0.502823, 0.502823, 0.498444, 1.462009e-08, 2000, 0, 0, 0, 0.000000
4973.173835, 0.023200, 7.141161e-07, 1.003927e-08, 0.500636, 0.500636, 0.503895, 1.462009e-08, 2000, 0, 0, 0, 0.000000
5120.020027, 0.023200, 7.142341e-07, 1.004158e-08, 0.509820, 0.509820, 0.488211, 1.462009e-08, 2000, 0, 0, 0, 0.000000
5266.933718, 0.023200, 7.143521e-07, 1.004389e-08, 0.503873, 0.503873, 0.502596, 1.462009e-08, 2000, 0, 0, 0, 0.000000
5413.842147, 0.023200, 7.143521e-07, 1.004389e-08, 0.491823, 0.491823, 0.502167, 1.462009e-08, 2000, 0, 0, 0, 0.000000
5560.750577, 0.023200, 7.143521e-07, 1.004389e-08, 0.489970, 0.489970, 0.492604, 1.462009e-08, 2000, 0, 0, 0, 0.000000
5707.659006, 0.023200, 7.143521e-07, 1.004389e-08, 0.515275, 0.515275, 0.503220, 1.462009e-08, 2000, 0, 0, 0, 0.000000
5854.567435, 0.023200, 7.143521e-07, 1.004389e-08, 0.510076, 0.510076, 0.508226, 1.462009e-08, 2000, 0, 0, 0, 0.000000
6001.475864, 0.023200, 7.143521e-07, 1.004389e-08, 0.494427, 0.494427, 0.502761, 1.462009e-08, 2000, 0, 0, 0, 0.000000
6148.384294, 0.023200, 7.143521e-07, 1.004389e-08, 0.508079, 0.508079, 0.496091, 1.462009e-08, 2000, 0, 0, 0, 0.000000
6295.292723, 0.023200, 7.143521e-07, 1.004389e-08, 0.496775, 0.496775, 0.492703, 1.462009e-08, 2000, 0, 0, 0, 0.000000
6442.201152, 0.023200, 7.143521e-07, 1.004389e-08, 0.503142, 0.503142, 0.500800, 1.462009e-08, 2000, 0, 0, 0, 0.000000
6589.109582, 0.023200, 7.143521e-07, 1.004389e-08, 0.497149, 0.497149, 0.505217, 1.462009e-08, 2000, 0, 0, 0, 0.000000
6736.018011, 0.023200, 7.143521e-07, 1.004389e-08, 0.512001, 0.512001, 0.501903, 1.462009e-08, 2000, 0, 0, 0, 0.000000
6882.926440, 0.023200, 7.143521e-07, 1.004389e-08, 0.492158, 0.492158, 0.495216, 1.462009e-08, 2000, 0, 0, 0, 0.000000
7029.834870, 0.023200, 7.143521e-07, 1.004389e-08, 0.503260, 0.503260, 0.508306, 1.462009e-08, 2000, 0, 0, 0, 0.000000
7176.816062, 0.023200, 7.144700e-07, 1.004620e-08, 0.495401, 0.495401, 0.507367, 1.462009e-08, 2000, 0, 0, 0, 0.000000
7323.864755, 0.023200, 7.145879e-07, 1.004851e-08, 0.492714, 0.492714, 0.500748, 1.462009e-08, 2000, 0, 0, 0, 0.000000
7470.980951, 0.023200, 7.147057e-07, 1.005082e-08, 0.495963, 0.495963, 0.495649, 1.462009e-08, 2000, 0, 0, 0, 0.000000
7618.091894, 0.023200, 7.147057e-07, 1.005082e-08, 0.513567, 0.513567, 0.503575, 1.462009e-08, 2000, 0, 0, 0, 0.000000
7765.202837, 0.023200, 7.147057e-07, 1.005082e-08, 0.501286, 0.501286, 0.494154, 1.462009e-08, 2000, 0, 0, 0, 0.000000
7912.313779, 0.023200, 7.147057e-07, 1.005082e-08, 0.503057, 0.503057, 0.506443, 1.462009e-08, 2000, 0, 0, 0, 0.000000
8059.424722, 0.023200, 7.147057e-07, 1.005082e-08, 0.492938, 0.492938, 0.499378, 1.462009e-08, 2000, 0, 0, 0, 0.000000
8206.535665, 0.023200, 7.147057e-07, 1.005082e-08, 0.495378, 0.495378, 0.507198, 1.462009e-08, 2000, 0, 0, 0, 0.000000
8353.646608, 0.023200, 7.147057e-07, 1.005082e-08, 0.505388, 0.505388, 0.514368, 1.462009e-08, 2000, 0, 0, 0, 0.000000
8500.757551, 0.023200, 7.147057e-07, 1.005082e-08, 0.501480, 0.501480, 0.519476, 1.462009e-08, 2000, 0, 0, 0, 0.000000
8647.868493, 0.023200, 7.147057e-07, 1.005082e-08, 0.503790, 0.503790, 0.495708, 1.462009e-08, 2000, 0, 0, 0, 0.000000
