Clock, Solids Loading, Box Size, AAR, RT Clock, Not accounted for, CheckForPolymerTangles, Stage One, Stage Two, RunSimulation, CalcParticleBrownianMotion, CalcPolymerBrownianMotion, NudgeParticles
0.000000, 0.023200, 7.121042e-07, 1.000000e-08,     1.1,     0.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     1.0
145.698759, 0.023200, 7.122229e-07, 1.000231e-08,     5.0,    -0.4,     0.0,     0.0,     0.0,     2.3,     0.0,     0.0,     3.0
291.465010, 0.023200, 7.123415e-07, 1.000462e-08,     8.2,    -0.5,     0.0,     0.0,     0.0,     4.3,     0.0,     0.0,     4.4
437.225947, 0.023200, 7.123415e-07, 1.000462e-08,    11.3,    -0.4,     0.0,     0.0,     0.0,     6.1,     0.0,     0.0,     5.6
582.986884, 0.023200, 7.123415e-07, 1.000462e-08,    14.6,    -0.3,     0.0,     0.0,     0.0,     7.8,     0.0,     0.0,     7.0
728.820628, 0.023200, 7.124601e-07, 1.000693e-08,    18.1,    -0.4,     0.0,     0.0,     0.0,     9.8,     0.1,     0.0,     8.6
874.649061, 0.023200, 7.124601e-07, 1.000693e-08,    20.9,    -0.3,     0.0,     0.0,     0.0,    11.5,     0.1,     0.0,     9.6
1020.550298, 0.023200, 7.125786e-07, 1.000924e-08,    24.3,    -0.4,     0.0,     0.0,     0.0,    13.4,     0.1,     0.0,    11.2
1166.519030, 0.023200, 7.126971e-07, 1.001155e-08,    27.7,    -0.7,     0.0,     0.0,     0.0,    15.5,     0.1,     0.0,    12.8
1312.482456, 0.023200, 7.126971e-07, 1.001155e-08,    30.9,    -0.6,     0.0,     0.0,     0.0,    17.2,     0.1,     0.0,    14.2
1458.518681, 0.023200, 7.128156e-07, 1.001386e-08,    34.4,    -0.7,     0.0,     0.0,     0.0,    19.2,     0.1,     0.0,    15.8
1604.549604, 0.023200, 7.128156e-07, 1.001386e-08,    37.2,    -0.6,     0.0,     0.0,     0.0,    20.9,     0.1,     0.0,    16.7
1750.653324, 0.023200, 7.129340e-07, 1.001617e-08,    40.4,    -0.7,     0.0,     0.0,     0.0,    22.8,     0.1,     0.0,    18.1
1896.824540, 0.023200, 7.130524e-07, 1.001848e-08,    44.3,    -1.3,     0.0,     0.0,     0.0,    25.2,     0.2,     0.0,    20.2
2042.990459, 0.023200, 7.130524e-07, 1.001848e-08,    47.2,    -1.1,     0.0,     0.0,     0.0,    26.9,     0.2,     0.0,    21.3
2189.229169, 0.023200, 7.131707e-07, 1.002079e-08,    50.4,    -1.2,     0.0,     0.0,     0.0,    28.8,     0.2,     0.0,    22.7
